brand,jenis_mobil,tahun_kendaraan,warna,transmisi,kilometer,mesin_enginecc,bahan_bakar,dirakit,penumpang,pintu,harga
Tesla,Sedan,2021,Putih,Automatic,7500,0,Electric,Complete Built Up (CBU),5,4,1075000000
Porsche,Sedan,2021,Hitam,Automatic,2500,0,Electric,Complete Built Up (CBU),4,4,3650000000
Tesla,Sedan,2021,Putih,Automatic,2500,0,Electric,Complete Built Up (CBU),5,4,1350000000
Tesla,Sedan,2021,Putih,Automatic,1000,0,Electric,Complete Built Up (CBU),5,4,985000000
Porsche,Sedan,2020,Biru,Automatic,4000,0,Electric,Complete Built Up (CBU),4,4,2750000000
Hyundai,Wagon,2023,Silver,Automatic,7500,0,Electric,Complete Knock Down (CKD),5,5,660000000
Hyundai,Wagon,2023,Silver,Automatic,8000,0,Electric,Complete Knock Down (CKD),5,5,660000000
Hyundai,Fastback,2022,Hitam,Automatic,47500,0,Electric,Complete Built Up (CBU),5,5,625000000
Hyundai,Wagon,2023,Hitam,Automatic,2500,0,Electric,Complete Knock Down (CKD),5,5,660000000
Hyundai,Wagon,2023,Silver,Automatic,7500,0,Electric,Complete Knock Down (CKD),5,5,675000000
Hyundai,Wagon,2020,Putih,Automatic,41000,0,Electric,Complete Built Up (CBU),5,5,345000000
Volkswagen,Wagon,2023,Biru,Automatic,2500,0,Electric,Complete Built Up (CBU),5,5,1900000000
Wuling,Hatchback,2022,Putih,Automatic,7000,0,Electric,Complete Knock Down (CKD),4,3,182000000
Hyundai,Wagon,2023,Silver,Automatic,7500,0,Electric,Complete Knock Down (CKD),5,5,645000000
Wuling,Hatchback,2023,Putih,Automatic,7000,0,Electric,Complete Knock Down (CKD),4,3,215000000
Hyundai,Wagon,2021,Abu-abu,Automatic,47500,0,Electric,Complete Built Up (CBU),5,5,379000000
Wuling,Hatchback,2023,Kuning,Automatic,15600,0,Electric,Complete Knock Down (CKD),4,3,205000000
Wuling,Hatchback,2022,Putih,Automatic,7500,0,Electric,Complete Knock Down (CKD),4,3,193000000
